Fecha,Avg_temp
21/07/22,70.3
22/07/22,66.8
23/07/22,67.3
24/07/22,72.2
25/07/22,68.6
26/07/22,67.1
27/07/22,67.9
28/07/22,73
29/07/22,72.9
30/07/22,72.7
31/07/22,70.3
01/08/22,72.3
02/08/22,77.2
03/08/22,80.2
04/08/22,74.6
05/08/22,70
06/08/22,70.2
07/08/22,73.1
08/08/22,76.6
09/08/22,78.9
10/08/22,82.5
11/08/22,83.6
12/08/22,83.8
13/08/22,80.8
14/08/22,67.7
15/08/22,68.9
16/08/22,68.1
17/08/22,63.1
18/08/22,66.9
19/08/22,68.9
20/08/22,68.2
21/08/22,63.4
22/08/22,68.3
23/08/22,72
24/08/22,76.1
25/08/22,72.5
26/08/22,68.2
27/08/22,70.1
28/08/22,73.1
29/08/22,74
30/08/22,76.6
31/08/22,69.9
01/09/22,70.4
02/09/22,67.6
03/09/22,67.2
04/09/22,68.1
05/09/22,70.1
06/09/22,66.4
07/09/22,65.5
08/09/22,64.1
09/09/22,63.8
10/09/22,62.5
11/09/22,70.9
12/09/22,76.3
13/09/22,77
14/09/22,69.8
15/09/22,68.8
16/09/22,60
17/09/22,56.4
18/09/22,58.2
19/09/22,60.2
20/09/22,60.2
21/09/22,60.7
22/09/22,61
23/09/22,58.2
24/09/22,58.3
25/09/22,58.6
26/09/22,54.6
27/09/22,57.8
28/09/22,59.5
29/09/22,52.4
30/09/22,60.1
01/10/22,63.4
02/10/22,64.2
03/10/22,60.5
04/10/22,59.4
05/10/22,61.2
06/10/22,56.7
07/10/22,55.1
08/10/22,55.8
09/10/22,58.3
10/10/22,62.6
11/10/22,61.4
12/10/22,57.2
13/10/22,58.8
14/10/22,62.1
15/10/22,62.1
16/10/22,62.9
17/10/22,62.6
18/10/22,64.3
19/10/22,67.3
20/10/22,63.6
21/10/22,64.1
22/10/22,62.8
23/10/22,65.3
24/10/22,61.8
25/10/22,59.5
26/10/22,63.7
27/10/22,64.8
28/10/22,64.3
29/10/22,65.6
30/10/22,58.7
31/10/22,58.1
01/11/22,57.1
02/11/22,54.8
03/11/22,55.5
04/11/22,52.4
05/11/22,50.9
06/11/22,56.7
07/11/22,58.4
08/11/22,58.5
09/11/22,54.7
10/11/22,51.7
11/11/22,49.8
12/11/22,57.3
13/11/22,56.4
14/11/22,53.8
15/11/22,54.9
16/11/22,54.5
17/11/22,53.9
18/11/22,47.9
19/11/22,42.5
20/11/22,49.5
21/11/22,49.2
22/11/22,49.3
23/11/22,53.4
24/11/22,53
25/11/22,48.5
26/11/22,47.8
27/11/22,51.7
28/11/22,47.9
29/11/22,43.5
30/11/22,42.6
01/12/22,41.2
02/12/22,38.7
03/12/22,39
04/12/22,38.4
05/12/22,38.5
06/12/22,40.7
07/12/22,40.1
08/12/22,34.5
09/12/22,35
10/12/22,31.8
11/12/22,34.6
12/12/22,31.7
13/12/22,32.1
14/12/22,36.7
15/12/22,36.9
16/12/22,36.6
17/12/22,30.6
18/12/22,38
19/12/22,53
20/12/22,53.5
21/12/22,51.9
22/12/22,56
23/12/22,56.5
24/12/22,53.6
25/12/22,53.7
26/12/22,50.4
27/12/22,45.3
28/12/22,51.5
29/12/22,50.6
30/12/22,54.2
31/12/22,61.4
