Quantity,Year,Month,Day,Avg_temp,Menu_Code
29,2022,202202,14,47.8,5
8,2021,202103,27,46.4,133
15,2021,202108,18,62.1,47
7,2022,202208,4,74.6,22
2,2021,202103,5,43.7,24
6,2021,202107,15,64.7,9
1,2021,202103,11,52.9,140
28,2021,202105,4,52.3,29
2,2022,202205,10,66.2,56
5,2021,202102,9,35.2,21
5,2021,202108,9,64.8,6
29,2021,202103,19,48.3,29
12,2022,202204,6,49.9,29
1,2021,202104,9,51.1,42
3,2021,202107,10,59.7,136
5,2021,202111,10,43.1,21
24,2021,202107,13,63.4,23
9,2021,202107,26,66.8,85
1,2022,202209,15,68.8,11
1,2021,202110,11,55.5,86
1,2021,202107,12,62.4,50
3,2022,202201,10,48.3,44
4,2022,202208,6,70.2,76
1,2021,202110,10,53.8,68
1,2021,202109,25,61.0,125
3,2022,202209,6,66.4,84
20,2022,202207,15,73.8,9
22,2021,202104,4,48.5,44
1,2021,202110,30,56.2,50
4,2022,202208,24,76.1,106
10,2021,202105,31,68.3,7
1,2022,202206,11,65.4,100
9,2022,202206,25,59.9,23
3,2022,202201,31,47.1,50
11,2021,202107,16,67.8,47
2,2021,202111,4,43.7,26
2,2022,202208,30,76.6,42
4,2022,202202,12,39.7,94
5,2021,202110,7,57.1,47
3,2022,202204,10,48.3,73
24,2021,202103,22,44.2,5
3,2022,202201,15,31.9,120
47,2021,202111,14,53.0,29
1,2021,202110,3,58.6,19
8,2021,202104,29,50.5,27
15,2021,202110,22,49.8,139
3,2022,202206,8,63.6,24
1,2021,202107,3,64.9,42
5,2022,202206,7,62.4,10
4,2021,202110,1,57.7,7
3,2021,202103,14,46.2,131
14,2022,202207,30,72.7,21
116,2022,202207,23,67.3,30
5,2022,202209,6,66.4,108
3,2022,202203,15,54.8,6
4,2022,202207,19,78.3,39
38,2021,202111,2,47.1,83
