Quantity,Year,Month,Day,Avg_temp,Menu_Code
204,2022,202204,24,56.6,138
3,2022,202204,24,56.6,139
7,2022,202204,24,56.6,146
24,2022,202204,25,57.8,2
26,2022,202204,25,57.8,5
6,2022,202204,25,57.8,6
3,2022,202204,25,57.8,7
2,2022,202204,25,57.8,9
5,2022,202204,25,57.8,10
1,2022,202204,25,57.8,11
3,2022,202204,25,57.8,12
6,2022,202204,25,57.8,19
2,2022,202204,25,57.8,21
10,2022,202204,25,57.8,23
1,2022,202204,25,57.8,25
6,2022,202204,25,57.8,27
6,2022,202204,25,57.8,28
25,2022,202204,25,57.8,29
24,2022,202204,25,57.8,30
3,2022,202204,25,57.8,31
1,2022,202204,25,57.8,35
1,2022,202204,25,57.8,36
1,2022,202204,25,57.8,39
3,2022,202204,25,57.8,42
5,2022,202204,25,57.8,44
2,2022,202204,25,57.8,47
3,2022,202204,25,57.8,50
10,2022,202204,25,57.8,55
1,2022,202204,25,57.8,70
1,2022,202204,25,57.8,71
3,2022,202204,25,57.8,73
2,2022,202204,25,57.8,77
3,2022,202204,25,57.8,81
4,2022,202204,25,57.8,82
27,2022,202204,25,57.8,83
3,2022,202204,25,57.8,84
4,2022,202204,25,57.8,85
4,2022,202204,25,57.8,86
2,2022,202204,25,57.8,106
1,2022,202204,25,57.8,108
1,2022,202204,25,57.8,112
3,2022,202204,25,57.8,120
4,2022,202204,25,57.8,121
2,2022,202204,25,57.8,123
8,2022,202204,25,57.8,124
2,2022,202204,25,57.8,127
1,2022,202204,25,57.8,132
2,2022,202204,25,57.8,133
162,2022,202204,25,57.8,138
2,2022,202204,25,57.8,139
7,2022,202204,25,57.8,146
19,2022,202204,26,55.7,2
14,2022,202204,26,55.7,5
3,2022,202204,26,55.7,6
1,2022,202204,26,55.7,7
2,2022,202204,26,55.7,9
2,2022,202204,26,55.7,10
2,2022,202204,26,55.7,12
5,2022,202204,26,55.7,19
4,2022,202204,26,55.7,21
8,2022,202204,26,55.7,23
8,2022,202204,26,55.7,27
4,2022,202204,26,55.7,28
14,2022,202204,26,55.7,29
20,2022,202204,26,55.7,30
4,2022,202204,26,55.7,31
1,2022,202204,26,55.7,36
1,2022,202204,26,55.7,39
1,2022,202204,26,55.7,42
3,2022,202204,26,55.7,47
1,2022,202204,26,55.7,48
1,2022,202204,26,55.7,49
17,2022,202204,26,55.7,55
2,2022,202204,26,55.7,67
1,2022,202204,26,55.7,70
4,2022,202204,26,55.7,73
2,2022,202204,26,55.7,75
4,2022,202204,26,55.7,77
2,2022,202204,26,55.7,81
4,2022,202204,26,55.7,82
28,2022,202204,26,55.7,83
1,2022,202204,26,55.7,84
3,2022,202204,26,55.7,85
1,2022,202204,26,55.7,86
1,2022,202204,26,55.7,94
1,2022,202204,26,55.7,106
3,2022,202204,26,55.7,108
4,2022,202204,26,55.7,120
9,2022,202204,26,55.7,121
3,2022,202204,26,55.7,123
9,2022,202204,26,55.7,124
3,2022,202204,26,55.7,133
1,2022,202204,26,55.7,136
112,2022,202204,26,55.7,138
4,2022,202204,26,55.7,139
19,2022,202204,27,57.4,2
23,2022,202204,27,57.4,5
7,2022,202204,27,57.4,6
10,2022,202204,27,57.4,7
4,2022,202204,27,57.4,9
8,2022,202204,27,57.4,10
1,2022,202204,27,57.4,11
2,2022,202204,27,57.4,12
2,2022,202204,27,57.4,19
10,2022,202204,27,57.4,21
15,2022,202204,27,57.4,23
4,2022,202204,27,57.4,24
4,2022,202204,27,57.4,27
4,2022,202204,27,57.4,28
34,2022,202204,27,57.4,29
17,2022,202204,27,57.4,30
5,2022,202204,27,57.4,31
3,2022,202204,27,57.4,35
1,2022,202204,27,57.4,39
3,2022,202204,27,57.4,42
11,2022,202204,27,57.4,44
1,2022,202204,27,57.4,47
1,2022,202204,27,57.4,48
1,2022,202204,27,57.4,49
2,2022,202204,27,57.4,50
13,2022,202204,27,57.4,55
1,2022,202204,27,57.4,70
6,2022,202204,27,57.4,73
2,2022,202204,27,57.4,75
2,2022,202204,27,57.4,76
5,2022,202204,27,57.4,77
2,2022,202204,27,57.4,81
5,2022,202204,27,57.4,82
25,2022,202204,27,57.4,83
1,2022,202204,27,57.4,84
2,2022,202204,27,57.4,85
3,2022,202204,27,57.4,92
2,2022,202204,27,57.4,94
3,2022,202204,27,57.4,106
6,2022,202204,27,57.4,108
3,2022,202204,27,57.4,118
7,2022,202204,27,57.4,120
9,2022,202204,27,57.4,121
3,2022,202204,27,57.4,123
8,2022,202204,27,57.4,124
1,2022,202204,27,57.4,125
6,2022,202204,27,57.4,133
2,2022,202204,27,57.4,136
141,2022,202204,27,57.4,138
7,2022,202204,27,57.4,139
23,2022,202204,28,60.3,2
1,2022,202204,28,60.3,3
28,2022,202204,28,60.3,5
3,2022,202204,28,60.3,6
2,2022,202204,28,60.3,7
7,2022,202204,28,60.3,9
6,2022,202204,28,60.3,10
1,2022,202204,28,60.3,12
3,2022,202204,28,60.3,19
3,2022,202204,28,60.3,21
11,2022,202204,28,60.3,23
3,2022,202204,28,60.3,24
